postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3401,4418,0,11,0,0,0,03/01/2021,04/01/2021
3407,422,0,0,0,0,0,03/01/2021,04/01/2021
3409,937,0,1,0,0,0,03/01/2021,04/01/2021
3412,299,0,0,0,0,0,03/01/2021,04/01/2021
3413,220,0,0,0,0,0,03/01/2021,04/01/2021
3414,1824,0,0,0,0,0,03/01/2021,04/01/2021
3415,40,0,0,0,0,0,03/01/2021,04/01/2021
3418,2771,0,0,0,0,0,03/01/2021,04/01/2021
3419,806,0,0,0,0,0,03/01/2021,04/01/2021
3420,277,0,1,0,0,0,03/01/2021,04/01/2021
3423,480,0,0,0,0,0,03/01/2021,04/01/2021
3424,769,0,0,0,0,0,03/01/2021,04/01/2021
3427,2761,0,21,0,0,0,03/01/2021,04/01/2021
3428,680,0,1,0,0,0,03/01/2021,04/01/2021
3429,36296,0,175,0,0,0,03/01/2021,04/01/2021
3430,322,0,0,0,0,0,03/01/2021,04/01/2021
3431,3945,0,8,0,0,0,03/01/2021,04/01/2021
3432,196,0,0,0,0,0,03/01/2021,04/01/2021
3433,216,0,2,0,0,0,03/01/2021,04/01/2021
3434,5070,0,9,0,0,0,03/01/2021,04/01/2021
3435,2878,0,4,0,0,0,03/01/2021,04/01/2021
3437,10445,0,11,0,0,0,03/01/2021,04/01/2021
3438,2386,0,3,0,0,0,03/01/2021,04/01/2021
3440,2040,0,2,0,0,0,03/01/2021,04/01/2021
3441,1337,0,2,0,0,0,03/01/2021,04/01/2021
3442,7463,0,8,0,0,0,03/01/2021,04/01/2021
3444,9197,0,7,0,0,0,03/01/2021,04/01/2021
3446,1028,0,0,0,0,0,03/01/2021,04/01/2021
3447,448,0,0,0,0,0,03/01/2021,04/01/2021
3448,878,0,0,0,0,0,03/01/2021,04/01/2021
3450,6838,0,3,0,0,0,03/01/2021,04/01/2021
3451,5654,0,3,0,0,0,03/01/2021,04/01/2021
3453,1725,0,1,0,0,0,03/01/2021,04/01/2021
3458,1947,0,2,0,0,0,03/01/2021,04/01/2021
3460,2566,0,0,0,0,0,03/01/2021,04/01/2021
3461,4150,0,0,0,0,0,03/01/2021,04/01/2021
3462,1173,0,1,0,0,0,03/01/2021,04/01/2021
3463,2454,0,2,0,0,0,03/01/2021,04/01/2021
3464,1118,0,0,0,0,0,03/01/2021,04/01/2021
3465,9770,0,2,0,0,0,03/01/2021,04/01/2021
3467,1196,0,1,0,0,0,03/01/2021,04/01/2021
3468,284,0,0,0,0,0,03/01/2021,04/01/2021
3469,278,0,0,0,0,0,03/01/2021,04/01/2021
3472,1482,0,0,0,0,0,03/01/2021,04/01/2021
3475,348,0,0,0,0,0,03/01/2021,04/01/2021
3477,824,0,0,0,0,0,03/01/2021,04/01/2021
3478,2457,0,1,0,0,0,03/01/2021,04/01/2021
3480,1862,0,0,0,0,0,03/01/2021,04/01/2021
3482,169,0,0,0,0,0,03/01/2021,04/01/2021
3483,888,0,0,0,0,0,03/01/2021,04/01/2021
3485,302,0,0,0,0,0,03/01/2021,04/01/2021
3487,96,0,0,0,0,0,03/01/2021,04/01/2021
3488,110,0,0,0,0,0,03/01/2021,04/01/2021
3489,53,0,0,0,0,0,03/01/2021,04/01/2021
3490,1290,0,0,0,0,0,03/01/2021,04/01/2021
3491,133,0,0,0,0,0,03/01/2021,04/01/2021
3494,661,0,0,0,0,0,03/01/2021,04/01/2021
3496,6224,0,1,0,0,0,03/01/2021,04/01/2021
3498,5324,0,3,0,0,0,03/01/2021,04/01/2021
3500,32738,0,2,0,0,0,03/01/2021,04/01/2021
3501,1939,0,0,0,0,0,03/01/2021,04/01/2021
3505,4829,0,0,0,0,0,03/01/2021,04/01/2021
3506,37,0,0,0,0,0,03/01/2021,04/01/2021
3507,157,0,0,0,0,0,03/01/2021,04/01/2021
3509,231,0,0,0,0,0,03/01/2021,04/01/2021
3512,371,0,0,0,0,0,03/01/2021,04/01/2021
3515,1940,0,4,0,0,0,03/01/2021,04/01/2021
3516,694,0,0,0,0,0,03/01/2021,04/01/2021
3517,1416,0,0,0,0,0,03/01/2021,04/01/2021
3518,1307,0,1,0,0,0,03/01/2021,04/01/2021
3520,179,0,0,0,0,0,03/01/2021,04/01/2021
3521,660,0,0,0,0,0,03/01/2021,04/01/2021
3522,334,0,1,0,0,0,03/01/2021,04/01/2021
3523,3619,0,8,0,0,0,03/01/2021,04/01/2021
3525,1302,0,0,0,0,0,03/01/2021,04/01/2021
3527,785,0,0,0,0,0,03/01/2021,04/01/2021
3529,120,0,0,0,0,0,03/01/2021,04/01/2021
3530,125,0,0,0,0,0,03/01/2021,04/01/2021
3531,191,0,0,0,0,0,03/01/2021,04/01/2021
3533,779,0,0,0,0,0,03/01/2021,04/01/2021
3537,1042,0,1,0,0,0,03/01/2021,04/01/2021
3540,286,0,0,0,0,0,03/01/2021,04/01/2021
3542,155,0,0,0,0,0,03/01/2021,04/01/2021
3544,249,0,0,0,0,0,03/01/2021,04/01/2021
3546,403,0,0,0,0,0,03/01/2021,04/01/2021
3549,3527,0,0,0,0,0,03/01/2021,04/01/2021
3550,40341,0,33,0,0,0,03/01/2021,04/01/2021
3551,29564,0,20,0,0,0,03/01/2021,04/01/2021
3555,19688,0,29,0,0,0,03/01/2021,04/01/2021
3556,13087,0,3,0,0,0,03/01/2021,04/01/2021
3557,785,0,0,0,0,0,03/01/2021,04/01/2021
3558,916,0,0,0,0,0,03/01/2021,04/01/2021
3559,545,0,0,0,0,0,03/01/2021,04/01/2021
3561,4434,0,3,0,0,0,03/01/2021,04/01/2021
3562,278,0,0,0,0,0,03/01/2021,04/01/2021
3563,808,0,0,0,0,0,03/01/2021,04/01/2021
3564,15944,0,3,0,0,0,03/01/2021,04/01/2021
3565,107,0,0,0,0,0,03/01/2021,04/01/2021
3566,556,0,0,0,0,0,03/01/2021,04/01/2021
3567,654,0,0,0,0,0,03/01/2021,04/01/2021
3568,2948,0,0,0,0,0,03/01/2021,04/01/2021
3570,752,0,0,0,0,0,03/01/2021,04/01/2021
3571,319,0,0,0,0,0,03/01/2021,04/01/2021
3572,151,0,0,0,0,0,03/01/2021,04/01/2021
3573,331,0,3,0,0,0,03/01/2021,04/01/2021
3575,807,0,0,0,0,0,03/01/2021,04/01/2021
3576,72,0,0,0,0,0,03/01/2021,04/01/2021
3579,5362,0,2,0,0,0,03/01/2021,04/01/2021
3580,990,0,0,0,0,0,03/01/2021,04/01/2021
3581,163,0,0,0,0,0,03/01/2021,04/01/2021
3583,208,0,0,0,0,0,03/01/2021,04/01/2021
3584,1139,0,0,0,0,0,03/01/2021,04/01/2021
3585,11205,0,4,0,0,0,03/01/2021,04/01/2021
3586,825,0,0,0,0,0,03/01/2021,04/01/2021
3588,359,0,0,0,0,0,03/01/2021,04/01/2021
3589,347,0,0,0,0,0,03/01/2021,04/01/2021
3590,335,0,0,0,0,0,03/01/2021,04/01/2021
3591,164,0,0,0,0,0,03/01/2021,04/01/2021
